sample_id,population,percentage,condition,treatment,sample_type,response
sample03001,cd4_t_cell,42.85,melanoma,miraclib,PBMC,yes
sample03001,cd8_t_cell,24.95,melanoma,miraclib,PBMC,yes
sample03001,monocyte,16.13,melanoma,miraclib,PBMC,yes
sample03001,nk_cell,10.37,melanoma,miraclib,PBMC,yes
sample03002,b_cell,9.03,melanoma,miraclib,PBMC,yes
sample03002,cd4_t_cell,33.13,melanoma,miraclib,PBMC,yes
sample03002,cd8_t_cell,21.81,melanoma,miraclib,PBMC,yes
sample03002,monocyte,21.86,melanoma,miraclib,PBMC,yes
sample03002,nk_cell,14.16,melanoma,miraclib,PBMC,yes
sample03006,b_cell,9.28,melanoma,miraclib,PBMC,no
sample03006,cd4_t_cell,33.25,melanoma,miraclib,PBMC,no
sample03006,cd8_t_cell,24.87,melanoma,miraclib,PBMC,no
sample03006,monocyte,21.81,melanoma,miraclib,PBMC,no
sample03006,nk_cell,10.8,melanoma,miraclib,PBMC,no
sample03007,b_cell,10.53,melanoma,miraclib,PBMC,no
sample03007,cd4_t_cell,21.3,melanoma,miraclib,PBMC,no
sample03007,cd8_t_cell,28.81,melanoma,miraclib,PBMC,no
sample03007,monocyte,24.78,melanoma,miraclib,PBMC,no
sample03007,nk_cell,14.58,melanoma,miraclib,PBMC,no
sample03008,b_cell,9.15,melanoma,miraclib,PBMC,no
sample03008,cd4_t_cell,37.28,melanoma,miraclib,PBMC,no
sample03008,cd8_t_cell,21.98,melanoma,miraclib,PBMC,no
sample03008,monocyte,14.38,melanoma,miraclib,PBMC,no
sample03008,nk_cell,17.22,melanoma,miraclib,PBMC,no
sample03021,b_cell,4.67,melanoma,miraclib,PBMC,yes
sample03021,cd4_t_cell,33.58,melanoma,miraclib,PBMC,yes
sample03021,cd8_t_cell,28.2,melanoma,miraclib,PBMC,yes
sample03021,monocyte,21.35,melanoma,miraclib,PBMC,yes
sample03021,nk_cell,12.21,melanoma,miraclib,PBMC,yes
sample03022,b_cell,12.11,melanoma,miraclib,PBMC,yes
sample03022,cd4_t_cell,25.4,melanoma,miraclib,PBMC,yes
sample03022,cd8_t_cell,24.83,melanoma,miraclib,PBMC,yes
sample03022,monocyte,22.45,melanoma,miraclib,PBMC,yes
sample03022,nk_cell,15.21,melanoma,miraclib,PBMC,yes
sample03023,b_cell,10.66,melanoma,miraclib,PBMC,yes
sample03023,cd4_t_cell,25.02,melanoma,miraclib,PBMC,yes
sample03023,cd8_t_cell,25.94,melanoma,miraclib,PBMC,yes
sample03023,monocyte,18.91,melanoma,miraclib,PBMC,yes
sample03023,nk_cell,19.47,melanoma,miraclib,PBMC,yes
sample03024,b_cell,9.68,melanoma,miraclib,PBMC,yes
sample03024,cd4_t_cell,24.43,melanoma,miraclib,PBMC,yes
sample03024,cd8_t_cell,23.06,melanoma,miraclib,PBMC,yes
sample03024,monocyte,25.78,melanoma,miraclib,PBMC,yes
sample03024,nk_cell,17.06,melanoma,miraclib,PBMC,yes
sample03025,b_cell,9.8,melanoma,miraclib,PBMC,yes
sample03025,cd4_t_cell,37.17,melanoma,miraclib,PBMC,yes
sample03025,cd8_t_cell,28.6,melanoma,miraclib,PBMC,yes
sample03025,monocyte,13.49,melanoma,miraclib,PBMC,yes
sample03025,nk_cell,10.93,melanoma,miraclib,PBMC,yes
sample03026,b_cell,4.93,melanoma,miraclib,PBMC,yes
sample03026,cd4_t_cell,35.31,melanoma,miraclib,PBMC,yes
sample03026,cd8_t_cell,29.62,melanoma,miraclib,PBMC,yes
sample03026,monocyte,19.76,melanoma,miraclib,PBMC,yes
sample03026,nk_cell,10.39,melanoma,miraclib,PBMC,yes
sample03030,b_cell,5.81,melanoma,miraclib,PBMC,no
sample03030,cd4_t_cell,29.81,melanoma,miraclib,PBMC,no
sample03030,cd8_t_cell,33.93,melanoma,miraclib,PBMC,no
sample03030,monocyte,16.68,melanoma,miraclib,PBMC,no
sample03030,nk_cell,13.78,melanoma,miraclib,PBMC,no
sample03031,b_cell,12.67,melanoma,miraclib,PBMC,no
sample03031,cd4_t_cell,22.78,melanoma,miraclib,PBMC,no
sample03031,cd8_t_cell,31.08,melanoma,miraclib,PBMC,no
sample03031,monocyte,21.66,melanoma,miraclib,PBMC,no
sample03031,nk_cell,11.8,melanoma,miraclib,PBMC,no
sample03032,b_cell,12.59,melanoma,miraclib,PBMC,no
sample03032,cd4_t_cell,32.75,melanoma,miraclib,PBMC,no
sample03032,cd8_t_cell,34.14,melanoma,miraclib,PBMC,no
sample03032,monocyte,14.04,melanoma,miraclib,PBMC,no
sample03032,nk_cell,6.47,melanoma,miraclib,PBMC,no
sample03039,b_cell,5.73,melanoma,miraclib,PBMC,yes
sample03039,cd4_t_cell,41.16,melanoma,miraclib,PBMC,yes
sample03039,cd8_t_cell,28.14,melanoma,miraclib,PBMC,yes
sample03039,monocyte,15.85,melanoma,miraclib,PBMC,yes
sample03039,nk_cell,9.12,melanoma,miraclib,PBMC,yes
sample03040,b_cell,12.8,melanoma,miraclib,PBMC,yes
sample03040,cd4_t_cell,34.64,melanoma,miraclib,PBMC,yes
sample03040,cd8_t_cell,17.33,melanoma,miraclib,PBMC,yes
sample03040,monocyte,26.22,melanoma,miraclib,PBMC,yes
sample03040,nk_cell,9.01,melanoma,miraclib,PBMC,yes
sample03041,b_cell,7.4,melanoma,miraclib,PBMC,yes
sample03041,cd4_t_cell,27.76,melanoma,miraclib,PBMC,yes
sample03041,cd8_t_cell,22.82,melanoma,miraclib,PBMC,yes
sample03041,monocyte,24.98,melanoma,miraclib,PBMC,yes
sample03041,nk_cell,17.04,melanoma,miraclib,PBMC,yes
sample03051,b_cell,11.55,melanoma,miraclib,PBMC,no
sample03051,cd4_t_cell,26.68,melanoma,miraclib,PBMC,no
sample03051,cd8_t_cell,27.73,melanoma,miraclib,PBMC,no
sample03051,monocyte,16.64,melanoma,miraclib,PBMC,no
sample03051,nk_cell,17.4,melanoma,miraclib,PBMC,no
sample03052,b_cell,11.13,melanoma,miraclib,PBMC,no
sample03052,cd4_t_cell,29.3,melanoma,miraclib,PBMC,no
sample03052,cd8_t_cell,24.03,melanoma,miraclib,PBMC,no
sample03052,monocyte,20.25,melanoma,miraclib,PBMC,no
sample03052,nk_cell,15.29,melanoma,miraclib,PBMC,no
sample03053,b_cell,16.8,melanoma,miraclib,PBMC,no
sample03053,cd4_t_cell,25.92,melanoma,miraclib,PBMC,no
sample03053,cd8_t_cell,24.71,melanoma,miraclib,PBMC,no
sample03053,monocyte,17.99,melanoma,miraclib,PBMC,no
sample03053,nk_cell,14.58,melanoma,miraclib,PBMC,no
sample03066,b_cell,6.75,melanoma,miraclib,PBMC,yes
sample03066,cd4_t_cell,33.26,melanoma,miraclib,PBMC,yes
sample03066,cd8_t_cell,26.6,melanoma,miraclib,PBMC,yes
sample03066,monocyte,19.67,melanoma,miraclib,PBMC,yes
sample03066,nk_cell,13.72,melanoma,miraclib,PBMC,yes
sample03067,b_cell,7.37,melanoma,miraclib,PBMC,yes
sample03067,cd4_t_cell,40.67,melanoma,miraclib,PBMC,yes
sample03067,cd8_t_cell,18.65,melanoma,miraclib,PBMC,yes
sample03067,monocyte,16.32,melanoma,miraclib,PBMC,yes
sample03067,nk_cell,16.99,melanoma,miraclib,PBMC,yes
sample03068,b_cell,7.94,melanoma,miraclib,PBMC,yes
sample03068,cd4_t_cell,29.87,melanoma,miraclib,PBMC,yes
sample03068,cd8_t_cell,29.51,melanoma,miraclib,PBMC,yes
sample03068,monocyte,15.39,melanoma,miraclib,PBMC,yes
sample03068,nk_cell,17.29,melanoma,miraclib,PBMC,yes
sample03093,b_cell,11.06,melanoma,miraclib,PBMC,yes
sample03093,cd4_t_cell,28.13,melanoma,miraclib,PBMC,yes
sample03093,cd8_t_cell,27.55,melanoma,miraclib,PBMC,yes
sample03093,monocyte,19.46,melanoma,miraclib,PBMC,yes
sample03093,nk_cell,13.8,melanoma,miraclib,PBMC,yes
sample03094,b_cell,14.84,melanoma,miraclib,PBMC,yes
sample03094,cd4_t_cell,32.21,melanoma,miraclib,PBMC,yes
sample03094,cd8_t_cell,27.28,melanoma,miraclib,PBMC,yes
sample03094,monocyte,15.27,melanoma,miraclib,PBMC,yes
sample03094,nk_cell,10.4,melanoma,miraclib,PBMC,yes
sample03095,b_cell,4.98,melanoma,miraclib,PBMC,yes
sample03095,cd4_t_cell,33.35,melanoma,miraclib,PBMC,yes
sample03095,cd8_t_cell,25.14,melanoma,miraclib,PBMC,yes
sample03095,monocyte,20.06,melanoma,miraclib,PBMC,yes
sample03095,nk_cell,16.47,melanoma,miraclib,PBMC,yes
sample03096,b_cell,11.45,melanoma,miraclib,PBMC,no
sample03096,cd4_t_cell,25.0,melanoma,miraclib,PBMC,no
sample03096,cd8_t_cell,29.64,melanoma,miraclib,PBMC,no
sample03096,monocyte,24.35,melanoma,miraclib,PBMC,no
sample03096,nk_cell,9.55,melanoma,miraclib,PBMC,no
sample03097,b_cell,8.26,melanoma,miraclib,PBMC,no
sample03097,cd4_t_cell,33.37,melanoma,miraclib,PBMC,no
sample03097,cd8_t_cell,26.67,melanoma,miraclib,PBMC,no
sample03097,monocyte,20.0,melanoma,miraclib,PBMC,no
sample03097,nk_cell,11.7,melanoma,miraclib,PBMC,no
sample03098,b_cell,5.75,melanoma,miraclib,PBMC,no
sample03098,cd4_t_cell,33.78,melanoma,miraclib,PBMC,no
sample03098,cd8_t_cell,19.91,melanoma,miraclib,PBMC,no
sample03098,monocyte,16.56,melanoma,miraclib,PBMC,no
sample03098,nk_cell,24.0,melanoma,miraclib,PBMC,no
sample03108,b_cell,9.04,melanoma,miraclib,PBMC,no
sample03108,cd4_t_cell,34.93,melanoma,miraclib,PBMC,no
sample03108,cd8_t_cell,20.59,melanoma,miraclib,PBMC,no
sample03108,monocyte,21.03,melanoma,miraclib,PBMC,no
sample03108,nk_cell,14.41,melanoma,miraclib,PBMC,no
sample03109,b_cell,9.0,melanoma,miraclib,PBMC,no
sample03109,cd4_t_cell,29.9,melanoma,miraclib,PBMC,no
sample03109,cd8_t_cell,31.72,melanoma,miraclib,PBMC,no
sample03109,monocyte,18.3,melanoma,miraclib,PBMC,no
sample03109,nk_cell,11.08,melanoma,miraclib,PBMC,no
sample03110,b_cell,9.93,melanoma,miraclib,PBMC,no
sample03110,cd4_t_cell,28.95,melanoma,miraclib,PBMC,no
sample03110,cd8_t_cell,26.68,melanoma,miraclib,PBMC,no
sample03110,monocyte,19.34,melanoma,miraclib,PBMC,no
sample03110,nk_cell,15.09,melanoma,miraclib,PBMC,no
sample03120,b_cell,8.79,melanoma,miraclib,PBMC,yes
sample03120,cd4_t_cell,25.49,melanoma,miraclib,PBMC,yes
sample03120,cd8_t_cell,32.81,melanoma,miraclib,PBMC,yes
sample03120,monocyte,20.66,melanoma,miraclib,PBMC,yes
sample03120,nk_cell,12.24,melanoma,miraclib,PBMC,yes
sample03121,b_cell,8.32,melanoma,miraclib,PBMC,yes
sample03121,cd4_t_cell,28.13,melanoma,miraclib,PBMC,yes
sample03121,cd8_t_cell,34.23,melanoma,miraclib,PBMC,yes
sample03121,monocyte,20.29,melanoma,miraclib,PBMC,yes
sample03121,nk_cell,9.03,melanoma,miraclib,PBMC,yes
sample03122,b_cell,9.26,melanoma,miraclib,PBMC,yes
sample03122,cd4_t_cell,31.99,melanoma,miraclib,PBMC,yes
sample03122,cd8_t_cell,24.24,melanoma,miraclib,PBMC,yes
sample03122,monocyte,26.44,melanoma,miraclib,PBMC,yes
sample03122,nk_cell,8.07,melanoma,miraclib,PBMC,yes
sample03132,b_cell,7.29,melanoma,miraclib,PBMC,no
sample03132,cd4_t_cell,18.84,melanoma,miraclib,PBMC,no
sample03132,cd8_t_cell,30.36,melanoma,miraclib,PBMC,no
sample03132,monocyte,24.42,melanoma,miraclib,PBMC,no
sample03132,nk_cell,19.09,melanoma,miraclib,PBMC,no
sample03133,b_cell,16.5,melanoma,miraclib,PBMC,no
sample03133,cd4_t_cell,28.56,melanoma,miraclib,PBMC,no
sample03133,cd8_t_cell,25.87,melanoma,miraclib,PBMC,no
sample03133,monocyte,17.55,melanoma,miraclib,PBMC,no
sample03133,nk_cell,11.51,melanoma,miraclib,PBMC,no
sample03134,b_cell,10.72,melanoma,miraclib,PBMC,no
sample03134,cd4_t_cell,25.77,melanoma,miraclib,PBMC,no
sample03134,cd8_t_cell,25.34,melanoma,miraclib,PBMC,no
sample03134,monocyte,17.34,melanoma,miraclib,PBMC,no
sample03134,nk_cell,20.83,melanoma,miraclib,PBMC,no
sample03159,b_cell,6.3,melanoma,miraclib,PBMC,yes
sample03159,cd4_t_cell,45.84,melanoma,miraclib,PBMC,yes
sample03159,cd8_t_cell,21.76,melanoma,miraclib,PBMC,yes
sample03159,monocyte,16.5,melanoma,miraclib,PBMC,yes
sample03159,nk_cell,9.6,melanoma,miraclib,PBMC,yes
sample03160,b_cell,14.2,melanoma,miraclib,PBMC,yes
sample03160,cd4_t_cell,29.03,melanoma,miraclib,PBMC,yes
sample03160,cd8_t_cell,27.8,melanoma,miraclib,PBMC,yes
sample03160,monocyte,15.13,melanoma,miraclib,PBMC,yes
sample03160,nk_cell,13.83,melanoma,miraclib,PBMC,yes
sample03161,b_cell,8.4,melanoma,miraclib,PBMC,yes
sample03161,cd4_t_cell,32.93,melanoma,miraclib,PBMC,yes
sample03161,cd8_t_cell,23.72,melanoma,miraclib,PBMC,yes
sample03161,monocyte,23.64,melanoma,miraclib,PBMC,yes
sample03161,nk_cell,11.32,melanoma,miraclib,PBMC,yes
sample03183,b_cell,8.04,melanoma,miraclib,PBMC,yes
sample03183,cd4_t_cell,33.34,melanoma,miraclib,PBMC,yes
sample03183,cd8_t_cell,24.33,melanoma,miraclib,PBMC,yes
sample03183,monocyte,20.02,melanoma,miraclib,PBMC,yes
sample03183,nk_cell,14.27,melanoma,miraclib,PBMC,yes
sample03184,b_cell,12.03,melanoma,miraclib,PBMC,yes
sample03184,cd4_t_cell,27.9,melanoma,miraclib,PBMC,yes
sample03184,cd8_t_cell,24.7,melanoma,miraclib,PBMC,yes
sample03184,monocyte,21.4,melanoma,miraclib,PBMC,yes
sample03184,nk_cell,13.98,melanoma,miraclib,PBMC,yes
sample03185,b_cell,16.05,melanoma,miraclib,PBMC,yes
sample03185,cd4_t_cell,28.04,melanoma,miraclib,PBMC,yes
sample03185,cd8_t_cell,20.03,melanoma,miraclib,PBMC,yes
sample03185,monocyte,22.73,melanoma,miraclib,PBMC,yes
sample03185,nk_cell,13.14,melanoma,miraclib,PBMC,yes
sample03186,b_cell,9.01,melanoma,miraclib,PBMC,no
sample03186,cd4_t_cell,38.38,melanoma,miraclib,PBMC,no
sample03186,cd8_t_cell,25.0,melanoma,miraclib,PBMC,no
sample03186,monocyte,18.29,melanoma,miraclib,PBMC,no
sample03186,nk_cell,9.32,melanoma,miraclib,PBMC,no
sample03187,b_cell,9.41,melanoma,miraclib,PBMC,no
sample03187,cd4_t_cell,39.27,melanoma,miraclib,PBMC,no
sample03187,cd8_t_cell,23.2,melanoma,miraclib,PBMC,no
sample03187,monocyte,16.62,melanoma,miraclib,PBMC,no
sample03187,nk_cell,11.5,melanoma,miraclib,PBMC,no
sample03188,b_cell,13.1,melanoma,miraclib,PBMC,no
sample03188,cd4_t_cell,23.93,melanoma,miraclib,PBMC,no
sample03188,cd8_t_cell,25.5,melanoma,miraclib,PBMC,no
sample03188,monocyte,23.58,melanoma,miraclib,PBMC,no
sample03188,nk_cell,13.89,melanoma,miraclib,PBMC,no
sample03195,b_cell,6.73,melanoma,miraclib,PBMC,yes
sample03195,cd4_t_cell,31.89,melanoma,miraclib,PBMC,yes
sample03195,cd8_t_cell,24.4,melanoma,miraclib,PBMC,yes
sample03195,monocyte,17.61,melanoma,miraclib,PBMC,yes
sample03195,nk_cell,19.37,melanoma,miraclib,PBMC,yes
sample03196,b_cell,15.81,melanoma,miraclib,PBMC,yes
sample03196,cd4_t_cell,24.01,melanoma,miraclib,PBMC,yes
sample03196,cd8_t_cell,23.13,melanoma,miraclib,PBMC,yes
sample03196,monocyte,29.05,melanoma,miraclib,PBMC,yes
sample03196,nk_cell,8.0,melanoma,miraclib,PBMC,yes
sample03197,b_cell,6.05,melanoma,miraclib,PBMC,yes
sample03197,cd4_t_cell,26.06,melanoma,miraclib,PBMC,yes
sample03197,cd8_t_cell,25.66,melanoma,miraclib,PBMC,yes
sample03197,monocyte,24.7,melanoma,miraclib,PBMC,yes
sample03197,nk_cell,17.52,melanoma,miraclib,PBMC,yes
sample03198,b_cell,12.56,melanoma,miraclib,PBMC,no
sample03198,cd4_t_cell,27.2,melanoma,miraclib,PBMC,no
sample03198,cd8_t_cell,19.74,melanoma,miraclib,PBMC,no
sample03198,monocyte,27.59,melanoma,miraclib,PBMC,no
sample03198,nk_cell,12.91,melanoma,miraclib,PBMC,no
sample03199,b_cell,11.21,melanoma,miraclib,PBMC,no
sample03199,cd4_t_cell,26.43,melanoma,miraclib,PBMC,no
sample03199,cd8_t_cell,30.19,melanoma,miraclib,PBMC,no
sample03199,monocyte,16.02,melanoma,miraclib,PBMC,no
sample03199,nk_cell,16.16,melanoma,miraclib,PBMC,no
sample03200,b_cell,10.64,melanoma,miraclib,PBMC,no
sample03200,cd4_t_cell,26.79,melanoma,miraclib,PBMC,no
sample03200,cd8_t_cell,26.59,melanoma,miraclib,PBMC,no
sample03200,monocyte,22.3,melanoma,miraclib,PBMC,no
sample03200,nk_cell,13.68,melanoma,miraclib,PBMC,no
sample03213,b_cell,10.04,melanoma,miraclib,PBMC,no
sample03213,cd4_t_cell,35.6,melanoma,miraclib,PBMC,no
sample03213,cd8_t_cell,20.86,melanoma,miraclib,PBMC,no
sample03213,monocyte,14.77,melanoma,miraclib,PBMC,no
sample03213,nk_cell,18.73,melanoma,miraclib,PBMC,no
sample03214,b_cell,8.23,melanoma,miraclib,PBMC,no
sample03214,cd4_t_cell,33.9,melanoma,miraclib,PBMC,no
sample03214,cd8_t_cell,22.53,melanoma,miraclib,PBMC,no
sample03214,monocyte,15.96,melanoma,miraclib,PBMC,no
sample03214,nk_cell,19.38,melanoma,miraclib,PBMC,no
sample03215,b_cell,10.76,melanoma,miraclib,PBMC,no
sample03215,cd4_t_cell,29.63,melanoma,miraclib,PBMC,no
sample03215,cd8_t_cell,24.71,melanoma,miraclib,PBMC,no
sample03215,monocyte,17.86,melanoma,miraclib,PBMC,no
sample03215,nk_cell,17.03,melanoma,miraclib,PBMC,no
sample03246,b_cell,10.19,melanoma,miraclib,PBMC,yes
sample03246,cd4_t_cell,35.7,melanoma,miraclib,PBMC,yes
sample03246,cd8_t_cell,28.36,melanoma,miraclib,PBMC,yes
sample03246,monocyte,15.82,melanoma,miraclib,PBMC,yes
sample03246,nk_cell,9.93,melanoma,miraclib,PBMC,yes
sample03247,b_cell,6.69,melanoma,miraclib,PBMC,yes
sample03247,cd4_t_cell,25.12,melanoma,miraclib,PBMC,yes
sample03247,cd8_t_cell,20.27,melanoma,miraclib,PBMC,yes
sample03247,monocyte,28.8,melanoma,miraclib,PBMC,yes
sample03247,nk_cell,19.12,melanoma,miraclib,PBMC,yes
sample03248,b_cell,5.87,melanoma,miraclib,PBMC,yes
sample03248,cd4_t_cell,29.35,melanoma,miraclib,PBMC,yes
sample03248,cd8_t_cell,29.89,melanoma,miraclib,PBMC,yes
sample03248,monocyte,26.74,melanoma,miraclib,PBMC,yes
sample03248,nk_cell,8.15,melanoma,miraclib,PBMC,yes
sample03252,b_cell,4.83,melanoma,miraclib,PBMC,no
sample03252,cd4_t_cell,35.96,melanoma,miraclib,PBMC,no
sample03252,cd8_t_cell,18.93,melanoma,miraclib,PBMC,no
sample03252,monocyte,17.4,melanoma,miraclib,PBMC,no
sample03252,nk_cell,22.88,melanoma,miraclib,PBMC,no
sample03253,b_cell,7.09,melanoma,miraclib,PBMC,no
sample03253,cd4_t_cell,33.63,melanoma,miraclib,PBMC,no
sample03253,cd8_t_cell,23.52,melanoma,miraclib,PBMC,no
sample03253,monocyte,20.18,melanoma,miraclib,PBMC,no
sample03253,nk_cell,15.58,melanoma,miraclib,PBMC,no
sample03254,b_cell,8.85,melanoma,miraclib,PBMC,no
sample03254,cd4_t_cell,29.9,melanoma,miraclib,PBMC,no
sample03254,cd8_t_cell,29.81,melanoma,miraclib,PBMC,no
sample03254,monocyte,20.21,melanoma,miraclib,PBMC,no
sample03254,nk_cell,11.23,melanoma,miraclib,PBMC,no
sample03258,b_cell,11.26,melanoma,miraclib,PBMC,no
sample03258,cd4_t_cell,25.67,melanoma,miraclib,PBMC,no
sample03258,cd8_t_cell,31.34,melanoma,miraclib,PBMC,no
sample03258,monocyte,19.6,melanoma,miraclib,PBMC,no
sample03258,nk_cell,12.14,melanoma,miraclib,PBMC,no
sample03259,b_cell,8.88,melanoma,miraclib,PBMC,no
sample03259,cd4_t_cell,32.36,melanoma,miraclib,PBMC,no
sample03259,cd8_t_cell,24.28,melanoma,miraclib,PBMC,no
sample03259,monocyte,19.53,melanoma,miraclib,PBMC,no
sample03259,nk_cell,14.95,melanoma,miraclib,PBMC,no
sample03260,b_cell,8.95,melanoma,miraclib,PBMC,no
sample03260,cd4_t_cell,19.5,melanoma,miraclib,PBMC,no
sample03260,cd8_t_cell,30.27,melanoma,miraclib,PBMC,no
sample03260,monocyte,26.78,melanoma,miraclib,PBMC,no
sample03260,nk_cell,14.5,melanoma,miraclib,PBMC,no
sample03264,b_cell,10.73,melanoma,miraclib,PBMC,yes
sample03264,cd4_t_cell,27.45,melanoma,miraclib,PBMC,yes
sample03264,cd8_t_cell,14.2,melanoma,miraclib,PBMC,yes
sample03264,monocyte,28.86,melanoma,miraclib,PBMC,yes
sample03264,nk_cell,18.76,melanoma,miraclib,PBMC,yes
sample03265,b_cell,11.07,melanoma,miraclib,PBMC,yes
sample03265,cd4_t_cell,36.03,melanoma,miraclib,PBMC,yes
sample03265,cd8_t_cell,22.29,melanoma,miraclib,PBMC,yes
sample03265,monocyte,11.06,melanoma,miraclib,PBMC,yes
sample03265,nk_cell,19.55,melanoma,miraclib,PBMC,yes
sample03266,b_cell,12.79,melanoma,miraclib,PBMC,yes
sample03266,cd4_t_cell,30.77,melanoma,miraclib,PBMC,yes
sample03266,cd8_t_cell,26.33,melanoma,miraclib,PBMC,yes
sample03266,monocyte,17.64,melanoma,miraclib,PBMC,yes
sample03266,nk_cell,12.47,melanoma,miraclib,PBMC,yes
sample03267,b_cell,16.0,melanoma,miraclib,PBMC,yes
sample03267,cd4_t_cell,26.19,melanoma,miraclib,PBMC,yes
sample03267,cd8_t_cell,25.29,melanoma,miraclib,PBMC,yes
sample03267,monocyte,18.59,melanoma,miraclib,PBMC,yes
sample03267,nk_cell,13.94,melanoma,miraclib,PBMC,yes
sample03268,b_cell,8.8,melanoma,miraclib,PBMC,yes
sample03268,cd4_t_cell,28.65,melanoma,miraclib,PBMC,yes
sample03268,cd8_t_cell,32.69,melanoma,miraclib,PBMC,yes
sample03268,monocyte,16.97,melanoma,miraclib,PBMC,yes
sample03268,nk_cell,12.9,melanoma,miraclib,PBMC,yes
sample03269,b_cell,9.68,melanoma,miraclib,PBMC,yes
sample03269,cd4_t_cell,29.81,melanoma,miraclib,PBMC,yes
sample03269,cd8_t_cell,36.15,melanoma,miraclib,PBMC,yes
sample03269,monocyte,15.44,melanoma,miraclib,PBMC,yes
sample03269,nk_cell,8.91,melanoma,miraclib,PBMC,yes
sample03273,b_cell,6.72,melanoma,miraclib,PBMC,yes
sample03273,cd4_t_cell,32.89,melanoma,miraclib,PBMC,yes
sample03273,cd8_t_cell,23.16,melanoma,miraclib,PBMC,yes
sample03273,monocyte,23.3,melanoma,miraclib,PBMC,yes
sample03273,nk_cell,13.93,melanoma,miraclib,PBMC,yes
sample03274,b_cell,3.51,melanoma,miraclib,PBMC,yes
sample03274,cd4_t_cell,31.31,melanoma,miraclib,PBMC,yes
sample03274,cd8_t_cell,25.83,melanoma,miraclib,PBMC,yes
sample03274,monocyte,28.5,melanoma,miraclib,PBMC,yes
sample03274,nk_cell,10.86,melanoma,miraclib,PBMC,yes
sample03275,b_cell,16.09,melanoma,miraclib,PBMC,yes
sample03275,cd4_t_cell,27.15,melanoma,miraclib,PBMC,yes
sample03275,cd8_t_cell,17.68,melanoma,miraclib,PBMC,yes
sample03275,monocyte,16.8,melanoma,miraclib,PBMC,yes
sample03275,nk_cell,22.28,melanoma,miraclib,PBMC,yes
sample03285,b_cell,6.3,melanoma,miraclib,PBMC,yes
sample03285,cd4_t_cell,31.46,melanoma,miraclib,PBMC,yes
sample03285,cd8_t_cell,19.79,melanoma,miraclib,PBMC,yes
sample03285,monocyte,15.68,melanoma,miraclib,PBMC,yes
sample03285,nk_cell,26.77,melanoma,miraclib,PBMC,yes
sample03286,b_cell,11.71,melanoma,miraclib,PBMC,yes
sample03286,cd4_t_cell,28.96,melanoma,miraclib,PBMC,yes
sample03286,cd8_t_cell,25.61,melanoma,miraclib,PBMC,yes
sample03286,monocyte,21.5,melanoma,miraclib,PBMC,yes
sample03286,nk_cell,12.21,melanoma,miraclib,PBMC,yes
sample03287,b_cell,18.37,melanoma,miraclib,PBMC,yes
sample03287,cd4_t_cell,22.31,melanoma,miraclib,PBMC,yes
sample03287,cd8_t_cell,25.36,melanoma,miraclib,PBMC,yes
sample03287,monocyte,18.95,melanoma,miraclib,PBMC,yes
sample03287,nk_cell,15.01,melanoma,miraclib,PBMC,yes
sample03297,b_cell,14.01,melanoma,miraclib,PBMC,yes
sample03297,cd4_t_cell,34.93,melanoma,miraclib,PBMC,yes
sample03297,cd8_t_cell,25.63,melanoma,miraclib,PBMC,yes
sample03297,monocyte,14.86,melanoma,miraclib,PBMC,yes
sample03297,nk_cell,10.58,melanoma,miraclib,PBMC,yes
sample03298,b_cell,6.2,melanoma,miraclib,PBMC,yes
sample03298,cd4_t_cell,26.72,melanoma,miraclib,PBMC,yes
sample03298,cd8_t_cell,39.85,melanoma,miraclib,PBMC,yes
sample03298,monocyte,19.43,melanoma,miraclib,PBMC,yes
sample03298,nk_cell,7.8,melanoma,miraclib,PBMC,yes
sample03299,b_cell,9.52,melanoma,miraclib,PBMC,yes
sample03299,cd4_t_cell,30.52,melanoma,miraclib,PBMC,yes
sample03299,cd8_t_cell,18.87,melanoma,miraclib,PBMC,yes
sample03299,monocyte,16.99,melanoma,miraclib,PBMC,yes
sample03299,nk_cell,24.1,melanoma,miraclib,PBMC,yes
sample03303,b_cell,6.89,melanoma,miraclib,PBMC,yes
sample03303,cd4_t_cell,28.75,melanoma,miraclib,PBMC,yes
sample03303,cd8_t_cell,23.18,melanoma,miraclib,PBMC,yes
sample03303,monocyte,24.77,melanoma,miraclib,PBMC,yes
sample03303,nk_cell,16.41,melanoma,miraclib,PBMC,yes
sample03304,b_cell,7.54,melanoma,miraclib,PBMC,yes
sample03304,cd4_t_cell,31.58,melanoma,miraclib,PBMC,yes
sample03304,cd8_t_cell,23.96,melanoma,miraclib,PBMC,yes
sample03304,monocyte,25.33,melanoma,miraclib,PBMC,yes
sample03304,nk_cell,11.59,melanoma,miraclib,PBMC,yes
sample03305,b_cell,12.13,melanoma,miraclib,PBMC,yes
sample03305,cd4_t_cell,22.57,melanoma,miraclib,PBMC,yes
sample03305,cd8_t_cell,17.9,melanoma,miraclib,PBMC,yes
sample03305,monocyte,22.82,melanoma,miraclib,PBMC,yes
sample03305,nk_cell,24.59,melanoma,miraclib,PBMC,yes
sample03318,b_cell,13.74,melanoma,miraclib,PBMC,no
sample03318,cd4_t_cell,27.13,melanoma,miraclib,PBMC,no
sample03318,cd8_t_cell,26.36,melanoma,miraclib,PBMC,no
sample03318,monocyte,14.5,melanoma,miraclib,PBMC,no
